,bitcoin,ethereum,tether
2020-01-01 23:02:43.140,130459887037.96156,,
2020-01-01 23:07:50.110,,14198212494.645739,
2020-01-01 23:37:41.585,,,4288441241.8987713
2020-01-02 00:00:35.223,130476583304.88057,,
2020-01-02 00:00:37.470,,14230588104.281237,
2020-01-02 00:37:23.699,,,4288058128.3958335
2020-01-02 01:05:45.804,130584646992.90562,,
2020-01-02 01:09:53.749,,14233424525.693718,
2020-01-02 01:30:28.231,,,4285448962.2747006
2020-01-02 02:05:33.698,130358896723.19968,,
2020-01-02 02:09:01.158,,14197754166.170506,
2020-01-02 02:19:53.217,,,4276853140.820118
2020-01-02 03:05:27.594,,14136343537.983791,
2020-01-02 03:07:27.405,129946043342.52246,,
2020-01-02 03:32:16.314,,,4286445297.2666054
2020-01-02 04:05:01.881,,14057334732.833673,
2020-01-02 04:05:31.269,129161003657.3862,,
2020-01-02 04:20:34.729,,,4286832953.171894
2020-01-02 05:04:53.422,,14126302972.772604,
2020-01-02 05:07:35.270,129571867181.80461,,
2020-01-02 05:19:55.939,,,4286262704.0032034
2020-01-02 06:04:26.032,,14110840069.003923,
2020-01-02 06:05:18.069,129367330721.65044,,
2020-01-02 06:34:29.480,,,4285883922.598397
2020-01-02 07:04:41.385,,14140382956.415903,
2020-01-02 07:04:47.580,129369101718.80202,,
2020-01-02 07:34:39.903,,,4278500417.6773596
2020-01-02 08:04:44.835,129077052900.44038,,
2020-01-02 08:07:40.093,,14107023167.860582,
2020-01-02 08:29:59.248,,,4289354936.361427
2020-01-02 09:04:09.770,129591050299.83505,,
2020-01-02 09:04:24.966,,14182937403.809797,
2020-01-02 09:42:20.096,,,4282439210.961532
2020-01-02 10:05:11.133,,14154064594.531301,
2020-01-02 10:09:13.494,129731828914.8752,,
2020-01-02 10:37:17.733,,,4284934798.193741
2020-01-02 11:04:31.068,,14148319798.191488,
2020-01-02 11:07:36.994,129851486484.35417,,
2020-01-02 11:29:52.425,,,4285158995.231758
2020-01-02 12:01:16.876,,14132214657.815586,
2020-01-02 12:05:01.336,129615977062.46872,,
2020-01-02 12:34:36.587,,,4285009418.8604364
2020-01-02 13:02:38.766,,14132159257.245125,
2020-01-02 13:09:28.353,129727275815.30447,,
2020-01-02 13:39:13.289,,,4285424619.4782667
2020-01-02 14:00:12.224,,14095843529.42088,
2020-01-02 14:00:46.800,129114536993.51703,,
2020-01-02 14:35:02.339,,,4284736469.4596167
2020-01-02 15:02:51.270,,14148814293.26913,
2020-01-02 15:05:21.707,129732527027.17838,,
2020-01-02 15:29:46.709,,,4285549020.287761
2020-01-02 16:06:08.137,129318720822.28156,,
2020-01-02 16:06:28.439,,14138767320.74604,
2020-01-02 16:34:01.241,,,4285391560.4135017
2020-01-02 17:02:32.978,,14064414601.471731,
2020-01-02 17:02:46.594,128777231049.55667,,
2020-01-02 17:39:28.788,,,4284449429.7030683
2020-01-02 18:08:06.404,,13898563408.78782,
2020-01-02 18:12:15.259,126578136833.24672,,
2020-01-02 18:34:21.220,,,4284042366.271288
2020-01-02 19:02:25.726,126697332501.96951,,
2020-01-02 19:04:21.043,,13917007320.150587,
2020-01-02 19:19:48.480,,,4285851534.679142
2020-01-02 20:04:13.801,126714744508.20364,,
2020-01-02 20:07:59.857,,13920208826.058548,
2020-01-02 20:24:42.699,,,4285505512.5227146
2020-01-02 21:00:16.831,,13880782949.862803,
2020-01-02 21:09:35.587,126256260022.41939,,
2020-01-02 21:34:32.396,,,4286984719.887101
2020-01-02 22:00:18.963,,13945314441.906187,
2020-01-02 22:05:02.067,126803382259.47682,,
2020-01-02 22:44:57.560,,,4286946698.5554533
2020-01-02 23:00:42.775,126630426146.09366,,
