,bitcoin,ethereum,tether
2020-01-01 23:02:43.140,7192.03484850501,,
2020-01-01 23:07:50.110,,130.23650678555663,
2020-01-01 23:37:41.585,,,0.9998144613155577
2020-01-02 00:00:35.223,7194.407630978279,,
2020-01-02 00:00:37.470,,130.54256731109814,
2020-01-02 00:37:23.699,,,0.9998312000322771
2020-01-02 01:05:45.804,7201.231755917775,,
2020-01-02 01:09:53.749,,130.44185572196992,
2020-01-02 01:30:28.231,,,0.9992947750153521
2020-01-02 02:05:33.698,7172.8685354465015,,
2020-01-02 02:09:01.158,,129.89353226667785,
2020-01-02 02:19:53.217,,,0.9971869910949818
2020-01-02 03:05:27.594,,129.56622494363685,
2020-01-02 03:07:27.405,7158.036110440981,,
2020-01-02 03:32:16.314,,,0.9990045811944005
2020-01-02 04:05:01.881,,128.81936124976104,
2020-01-02 04:05:31.269,7118.483481882085,,
2020-01-02 04:20:34.729,,,0.9995138746056117
2020-01-02 05:04:53.422,,129.54441495316047,
2020-01-02 05:07:35.270,7139.044338055413,,
2020-01-02 05:19:55.939,,,0.9993809158544043
2020-01-02 06:04:26.032,,129.32320766852135,
2020-01-02 06:05:18.069,7131.002196068342,,
2020-01-02 06:34:29.480,,,0.9991597382686309
2020-01-02 07:04:41.385,,129.19973660679736,
2020-01-02 07:04:47.580,7126.583264410551,,
2020-01-02 07:34:39.903,,,0.9983943764566285
2020-01-02 08:04:44.835,7111.958355196577,,
2020-01-02 08:07:40.093,,129.22879650761664,
2020-01-02 08:29:59.248,,,0.9994836157041684
2020-01-02 09:04:09.770,7147.519850308335,,
2020-01-02 09:04:24.966,,130.03477783191602,
2020-01-02 09:42:20.096,,,0.9990575980959997
2020-01-02 10:05:11.133,,129.8306486644342,
2020-01-02 10:09:13.494,7158.77263838638,,
2020-01-02 10:37:17.733,,,0.9990784017382323
2020-01-02 11:04:31.068,,129.74657372507167,
2020-01-02 11:07:36.994,7159.71244569484,,
2020-01-02 11:29:52.425,,,0.9988392510212986
2020-01-02 12:01:16.876,,129.46666197645646,
2020-01-02 12:05:01.336,7140.882798673408,,
2020-01-02 12:34:36.587,,,0.9994544425091828
2020-01-02 13:02:38.766,,129.77193598757523,
2020-01-02 13:09:28.353,7153.897779787348,,
2020-01-02 13:39:13.289,,,0.9980514002104974
2020-01-02 14:00:12.224,,128.93030539636487,
2020-01-02 14:00:46.800,7122.955847575346,,
2020-01-02 14:35:02.339,,,0.999330867847917
2020-01-02 15:02:51.270,,129.33532581835806,
2020-01-02 15:05:21.707,7131.947952364188,,
2020-01-02 15:29:46.709,,,0.9987633252511816
2020-01-02 16:06:08.137,7144.527266112982,,
2020-01-02 16:06:28.439,,129.74085864099524,
2020-01-02 16:34:01.241,,,0.9998767653424595
2020-01-02 17:02:32.978,,127.58424725934489,
2020-01-02 17:02:46.594,7061.191040871543,,
2020-01-02 17:39:28.788,,,0.9991086907110447
2020-01-02 18:08:06.404,,127.13269004789433,
2020-01-02 18:12:15.259,6963.676904867868,,
2020-01-02 18:34:21.220,,,0.999620791078671
2020-01-02 19:02:25.726,6978.624494493825,,
2020-01-02 19:04:21.043,,127.49935107139642,
2020-01-02 19:19:48.480,,,0.9992850480077443
2020-01-02 20:04:13.801,6986.150013658417,,
2020-01-02 20:07:59.857,,127.45187871235436,
2020-01-02 20:24:42.699,,,0.9991937324406563
2020-01-02 21:00:16.831,,127.15963814824237,
2020-01-02 21:09:35.587,6961.119459150283,,
2020-01-02 21:34:32.396,,,1.0002693790434602
2020-01-02 22:00:18.963,,127.67907581096475,
2020-01-02 22:05:02.067,6981.30717109587,,
2020-01-02 22:44:57.560,,,0.9993139792684023
2020-01-02 23:00:42.775,6981.69131060475,,
2020-01-02 23:02:31.773,,127.447470196922,
2020-01-02 23:35:19.799,,,0.9991249561719738
2020-01-03 00:02:33.859,6963.853353983485,,
2020-01-03 00:04:08.181,,127.04525801179804,
2020-01-03 00:39:51.865,,,0.9993322321486886
2020-01-03 01:02:56.974,6937.3805230920025,,
2020-01-03 01:04:22.363,,127.0500922398756,
2020-01-03 01:42:48.981,,,0.998032015900652
2020-01-03 02:04:49.359,,126.06725183498914,
2020-01-03 02:05:40.219,6891.250830249504,,
2020-01-03 02:37:28.840,,,1.0014401051330122
2020-01-03 03:02:45.250,6964.516742347162,,
2020-01-03 03:04:44.073,,126.92170612298568,
2020-01-03 03:06:24.651,,,1.0010019087782827
2020-01-03 04:03:01.938,6954.90087681724,,
2020-01-03 04:09:30.937,,126.84992876204794,
2020-01-03 04:37:49.536,,,1.0004993052545332
2020-01-03 05:04:08.478,7196.883716246176,,
2020-01-03 05:09:09.350,,129.6338091502884,
2020-01-03 05:23:58.823,,,1.0006311064827813
2020-01-03 06:09:41.963,7205.4947138474545,,
2020-01-03 06:09:47.352,,129.20465600426164,
2020-01-03 06:39:01.745,,,1.0002821110758429
2020-01-03 07:09:43.720,7209.544302366862,,
2020-01-03 07:09:46.637,,129.28627212015752,
2020-01-03 07:39:43.658,,,1.0002577282555016
2020-01-03 08:12:16.603,7203.643069411785,,
