,bitcoin,ethereum,tether
2020-01-01 23:02:43.140,17748143657.3404,,
2020-01-01 23:07:50.110,,6768567126.346265,
2020-01-01 23:37:41.585,,,20371616036.519608
2020-01-02 00:00:35.223,18187191950.132072,,
2020-01-02 00:00:37.470,,6475817634.82716,
2020-01-02 00:37:23.699,,,20540225129.684128
2020-01-02 01:05:45.804,18048113308.354977,,
2020-01-02 01:09:53.749,,5939879408.847802,
2020-01-02 01:30:28.231,,,20462003360.15088
2020-01-02 02:05:33.698,17756300038.623993,,
2020-01-02 02:09:01.158,,6604712994.783658,
2020-01-02 02:19:53.217,,,20092398139.022644
2020-01-02 03:05:27.594,,6143223613.772671,
2020-01-02 03:07:27.405,17924679660.129276,,
2020-01-02 03:32:16.314,,,20382298878.781578
2020-01-02 04:05:01.881,,6766940070.933077,
2020-01-02 04:05:31.269,18280730628.767788,,
2020-01-02 04:20:34.729,,,20658809467.819126
2020-01-02 05:04:53.422,,5629019248.230439,
2020-01-02 05:07:35.270,18635853618.70328,,
2020-01-02 05:19:55.939,,,20733399830.293343
2020-01-02 06:04:26.032,,6691939889.438633,
2020-01-02 06:05:18.069,18714666383.495544,,
2020-01-02 06:34:29.480,,,20878360003.53941
2020-01-02 07:04:41.385,,7123243200.139115,
2020-01-02 07:04:47.580,18497770990.69292,,
2020-01-02 07:34:39.903,,,20763910362.666107
2020-01-02 08:04:44.835,17804491916.704502,,
2020-01-02 08:07:40.093,,6642401806.631679,
2020-01-02 08:29:59.248,,,20802691914.72798
2020-01-02 09:04:09.770,18854820908.126183,,
2020-01-02 09:04:24.966,,7033847483.669618,
2020-01-02 09:42:20.096,,,20996861641.481354
2020-01-02 10:05:11.133,,6382344473.859115,
2020-01-02 10:09:13.494,18833030690.899227,,
2020-01-02 10:37:17.733,,,21199930457.93441
2020-01-02 11:04:31.068,,6759140128.992516,
2020-01-02 11:07:36.994,18960242543.948555,,
2020-01-02 11:29:52.425,,,21187863343.91396
2020-01-02 12:01:16.876,,6920148378.183516,
2020-01-02 12:05:01.336,18924185246.400764,,
2020-01-02 12:34:36.587,,,20847901595.858337
2020-01-02 13:02:38.766,,6962739290.389634,
2020-01-02 13:09:28.353,18840597345.081512,,
2020-01-02 13:39:13.289,,,20699092393.617596
2020-01-02 14:00:12.224,,6552639610.38009,
2020-01-02 14:00:46.800,18794944729.49045,,
2020-01-02 14:35:02.339,,,20735235293.073658
2020-01-02 15:02:51.270,,7095724989.067319,
2020-01-02 15:05:21.707,19212387977.95594,,
2020-01-02 15:29:46.709,,,21045933471.00139
2020-01-02 16:06:08.137,19240840268.391685,,
2020-01-02 16:06:28.439,,7212421493.822668,
2020-01-02 16:34:01.241,,,20831612524.80809
2020-01-02 17:02:32.978,,5818216890.663857,
2020-01-02 17:02:46.594,19038033338.74043,,
2020-01-02 17:39:28.788,,,21762570622.68037
2020-01-02 18:08:06.404,,6953643584.71281,
2020-01-02 18:12:15.259,19736157418.40893,,
2020-01-02 18:34:21.220,,,22027787853.058243
2020-01-02 19:02:25.726,19365494704.00597,,
2020-01-02 19:04:21.043,,6898504308.594629,
2020-01-02 19:19:48.480,,,22413603996.47384
2020-01-02 20:04:13.801,20210549497.96692,,
2020-01-02 20:07:59.857,,7029470318.85351,
2020-01-02 20:24:42.699,,,22621419027.91119
2020-01-02 21:00:16.831,,7037921105.682027,
2020-01-02 21:09:35.587,20973429481.64205,,
2020-01-02 21:34:32.396,,,22773050611.309284
2020-01-02 22:00:18.963,,6532381826.965887,
2020-01-02 22:05:02.067,21164193225.57904,,
2020-01-02 22:44:57.560,,,22542872730.20083
2020-01-02 23:00:42.775,20695172469.27718,,
2020-01-02 23:02:31.773,,6562672198.806886,
2020-01-02 23:35:19.799,,,22730525258.906437
2020-01-03 00:02:33.859,20313194628.09452,,
2020-01-03 00:04:08.181,,6497297884.22486,
2020-01-03 00:39:51.865,,,22806725112.173004
2020-01-03 01:02:56.974,20562660613.151913,,
2020-01-03 01:04:22.363,,6677228014.815641,
2020-01-03 01:42:48.981,,,23059318492.545425
2020-01-03 02:04:49.359,,6464482191.39551,
